X,Y,OBJECTID_1,OBJECTID,CompanyID,County,FacilityNa,Address,ProductsSe,Employees,YrEst,Latitude,Longitude,ImportKBIF,CompanyNam,Phone,Website,ByProducts,ModDate,Mfg,NAICSCode1,NAICSCode2,NAICSCode3,NAICSCode4,NAICSCode5,NAICSCode6,Main_NAICS,NAICS6,NAICSNatlI,NAICSNat_1,fPotMfgAsp,YrRmvd,ESRI_OID
-9525224.53314225,4609368.90586135,1,1,001t0000003slbi,Jefferson,310 Tempering,"2409 Plantside Drive, Louisville, KY 40299 United States","310 Tempering specializes in precise fabrication and tempering for applications such as heavy glass shower enclosures, railings, interior partitions, all glass entrances, table tops and much more.",78,2015,38.211648,-85.566543,569113104,310 Tempering,(502) 749-4141,www.310tempering.com, ,2021/11/11 00:00:00+00,1,327215, , , , , ,327215,327215,Glass Product Manufacturing Made of Purchased Glass,Glass Product Mfg. Made of Purchased Glass,0,0,296
-9835992.11702043,4420672.40680307,2,2,001t0000003sjBS,Marshall,3A Composites USA Inc,"208 W 5th St, Benton, KY 42025-1100 United States",Composite aluminum & plastic foam panels & sheets,130,1978,36.867625,-88.358215,1091,3A Composites USA Inc,(270) 527-4200,www.3acompositesusa.com, ,2021/11/29 00:00:00+00,1,331318,326150,326113, , , ,331318,331318,"Other Aluminum Rolling, Drawing and Extruding","Other Aluminum Rolling, Drawing and Extruding",0,0,316
-9567116.39780535,4439758.30817555,3,3,001t0000003skTh,Barren,3A Composites USA Inc,"205 American Ave, Glasgow, KY 42141-1136 United States","Paper faced foam panels, thick foam panels and graphic arts boards
PET Foam for the core material market",142,1993,37.004667,-85.942864,4678,3A Composites USA Inc,270-651-3822,www.graphicdisplayusa.com, ,2022/02/18 00:00:00+00,1,326140, , , , , ,326140,326140,Polystyrene Foam Product Manufacturing,Polystyrene Foam Product Manufacturing,0,0,281
-9538261.05111789,4608138.37779123,4,4,001t0000003sn4S,Jefferson,"3DR Laboratories, LLC","1941 Bishop Lane, Suite 807, Louisville, KY 40218 United States","Radiology information technology service company that allows diagnostic imaging facilities to outsource their 3D image processing.  By outsourcing all or part of this function, clients reduce cost, improve quality and can operate 24/7.",130,2006,38.202962,-85.683652,297407900,"3DR Labs II, LLC",(502) 814-7018,www.3drinc.com, ,2021/11/11 00:00:00+00,0,621512, , , , , ,621512,621512,Diagnostic Imaging Centers,Diagnostic Imaging Centers,0,0,925
-9383638.90231606,4632518.33461783,5,5,001t0000003sjEV,Harrison,3M,"1308  New Lair Rd, Cynthiana, KY 41031-8823 United States","Office supplies and stationery products: repositionable note pads, easel pads, and packaging tapes. Post-it (R) Notes.",550,1969,38.374861,-84.294658,1304,3M Company,859-234-5671,www.3M.com, ,2022/02/21 00:00:00+00,1,322220,322121, , , , ,322220,322220,Paper Bag and Coated and Treated Paper Manufacturing,Paper Bag and Coated and Treated Paper Mfg,0,0,233
-9425807.4116444,4733196.67071282,6,6,001t0000003sk1X,Boone,3M Hebron,"1151 Aviation Blvd, Hebron, KY 41048-9333 United States",Compound custom resins & specialty thermoplastic resin pellets,43,1995,39.080406,-84.673464,3312,3M,859-334-4500,www.3m.com,001t0000003sk1XAAQ,2021/10/13 00:00:00+00,1,325211, , , , , ,325211,325211,Plastics Material and Resin Manufacturing,Plastics Material and Resin Manufacturing,0,0,253
-9411597.80016159,4590433.53849544,7,7,001t0000003sif0,Fayette,3M Technical Ceramics  Inc,"2416 Merchant St, Lexington, KY 40511 United States","Dispenser cathodes/electron guns servicing Defense, Medical and Communications. Thrust bearings servicing the oil and gas business.",57,2005,38.077873,-84.545817,222907900,3M Ceradyne Inc,(859) 255-3664,www.3M.com, ,2021/12/16 00:00:00+00,1,334413,212325, , , , ,334413,334413,Semiconductor and Related Device Manufacturing,Semiconductors and Related Device Mfg.,0,0,411
-9523461.34326102,4610254.13776816,8,8,001t0000007kmT8,Jefferson,3 Space,"1800 Cobalt Drive, Louisville, KY 40299 United States","Services include mechanical engineering, reverse engineering, 3D scanning, 3D printing and manufacturing",9,2013,38.217896,-85.550704,633234601,3 Space,(502) 855-7222,www.3space.com, ,2022/02/23 00:00:00+00,1,323111,326199,332710,333514, , ,323111,323111,Commercial Printing (except Screen and Books),Commercial Printing (except Screen and Books),0,0,237
-9282932.79475407,4453013.80833565,9,9,001t0000003slWD,Leslie,4 M Lumber LLC,"91 Woodbine Lane, Hyden, KY 40868 United States",Lumber,3,2014,37.0997,-83.39,1001788,4M Lumber LLC,(606) 374-9663, , ,2021/10/13 00:00:00+00,1,321113, , , , , ,321113,321113,Sawmills,Sawmills,0,0,212
-9869553.28231921,4405707.42517878,10,10,001t0000003sj0w,Graves,A.C.E. Compressor Parts & Services Inc,"245 KenTex Road, Mayfield, KY 42066 United States","Remanufactured air compressors, parts, and service",32,2009,36.76,-88.6597,1000960,"A.C.E. Compressor Parts & Service, Inc.",270-247-1554,www.acecompressorservices.com,"Control panels, Filters, Seals, Bearings, Air Coolers,  OIl Coolers, Condensate traps, Diffusers, Di",2021/11/11 00:00:00+00,1,333912, , , , ,333912,333912,333912,Air and Gas Compressor Manufacturing,Air and Gas Compressor Manufacturing,0,0,389
